event_id,ppv_buyrate_relative,ppv_buyrate_absolute,buyrate_absolute
12017,,22.000,
2403,1.1,,
373045,,,136.0
250459,,175.000,
10608,,1.188.000,
13063,,26.000,
398,0.23,,
1754,7.01,,
7591,,541.000,
86567,,175.000,
381208,,,175.0
14899,,341.000,
369565,,,115.0
54588,,216.000,
2494,0.4,,
2476,0.5,,
1753,8.0,,
54586,,285.000,
85252,,1.041.000,
1103,3.5,,
8796,,228.000,
2221,1.32,,
11727,,186.000,
19853,,670.000,
20827,,200.000,
26114,,477.000,
35270,,182.000,
231259,,88.000,
1764,3.8,,
1614,0.6,,
2261,1.6,,
2565,0.38,,
2632,0.48,,
44791,,462.000,
1627,0.47,,
9226,,383.000,
1965,0.57,,
1720,0.22,,
2041,0.89,,
27588,,211.000,
54587,,1.120.000,
1970,0.33,,
1595,0.48,,
2196,2.18,,
1610,0.57,,
2211,0.96,,
2090,1.14,,
93886,,https://www.youtube.com/watch?v=ylVl5V0J9aw,
35271,,178.000,
1729,0.1,,
2141,1.05,,
79078,,189.000,
220402,,98.000,
44801,,138.000,
1809,1.32,,
44799,,211.0,
239130,,75.0,
18017,,329.0,
79077,,358.0,
2712,2.46,980.0,
1628,0.74,,
2374,0.95,,
21327,,252.0,
2317,0.94,,
48305,,165.0,
1594,0.53,,
249729,,90.0,
1632,0.6,,
12668,,230.0,
1988,0.4,,
394,0.24,,
1109,1.3,,
2012,0.85,,
2521,0.5,,
2677,0.83,,
2331,0.75,,
10268,,218.0,
341244,,127.0,
1553,1.2,,
378668,,,141.0
58952,,161.0,
2137,1.62,,
1624,0.7,,
2445,0.49,,
2216,1.63,,
2595,0.55,,
1607,0.6,,
1989,0.58,,
2058,1.91,,
2579,0.47,,
1691,1.15,,
288604,,75.0,
1712,0.45,,
269456,,90.0,
2075,1.71,,
6497,,304.0,
1718,0.14,,
2336,0.77,,
35299,,181.0,
14712,,27.0,
3027,0.58,279.0,
35265,,228.0,
32524,,194.0,
313401,,155.0,
14114,,36.0,
1633,0.89,,
2147,1.19,,
253898,,105.0,
1678,1.23,,
10375,,36.0,
12187,,243.0,
35269,,970.0,
44790,,228.0,
35268,,272.0,
1980,1.2,,
1639,1.02,,
1750,7.01,,
1991,0.72,,
5978,,636.000,
1981,0.65,,
1556,0.8,,
12536,,15.000,
1719,0.19,,
2190,1.6,,
9875,,35.000,
10732,1.6,,
2004,0.52,,
79076,,188.000,
71011,,1.253.000,
1759,1.5,,
54589,,140.000,
412,0.2,,
255225,,115.000,
347015,,139.000,
9393,,90.000,
1786,2.0,,
374493,,,110.0
1990,0.35,,
21984,,194.000,
44794,,182.000,
11254,,21.000,
1761,4.81,,
35274,,200.000,
1617,0.6,,
1626,0.93,,
1992,0.5,,
1727,0.17,,
54585,,460.000,
1637,0.56,,
54593,,296.000,
1953,0.7,,
2426,0.75,,
2241,1.13,,
4563,,207.000,
2168,1.31,,
2390,1.4,,
5156,,294.0,
106922,,10.0,
2652,0.81,,
35273,,369.0,
1831,0.92,,
86227,,11.0,
337120,,155.0,
1640,1.12,,
1625,0.54,,
35266,,213.0,
35298,,283.0,
44795,,197.0,
2069,2.32,,
44798,,350.0,
2270,1.33,,
66471,,195.0,
94327,,296.0,
2152,1.04,,
2850,0.81,333.0,
1606,0.97,,
95917,,175.0,
120609,,39.0,
10149,,23.0,
1665,1.3,,
28973,,261.0,
1112,1.7,,
44800,,169.0,
1613,0.48,,
1721,0.18,,
1939,0.65,,
34649,,450.0,
23016,,273.0,
10756,,35.0,
1982,0.45,,
313040,,215.0,
47205,,950.0,
2661,0.59,,
3981,,240.0,
2551,0.54,,
2346,0.87,,
2290,0.8,,
14396,,194.0,
73426,,251.0,
44802,,244.0,
1619,0.44,,
1998,0.8,,
1767,3.04,,
31412,,326.0,
2458,0.94,,
2163,1.5,,
9612,,239.0,
44792,,285.0,
5231,1.31,548.0,
23965,,196.0,
8154,,307.0,
2297,0.94,,
1748,1.1,,
364426,,,200.0
1716,0.13,,
1925,1.4,,
2510,0.9,,
1765,3.9,,
2686,0.59,,
2184,1.35,,
1772,1.8,,
1713,0.23,,
35272,,259.0,
1726,0.11,,
1906,0.9,,
2095,1.1,,
29983,,162.0,
2413,0.58,,
6397,,252.0,
17351,,533.0,
296143,,135.0,
2173,1.0,,
2639,0.44,,
2158,1.4,,
35300,,235.0,
1985,0.37,,
9804,,220.0,
2128,2.08,,
1660,1.42,,
2177,1.15,,
44793,,885.0,
1611,0.51,,
6571,,337.0,
44803,,195.0,
94326,,199.0,
2117,1.2,,
1562,0.9,,
1766,3.0,,
44797,,143.0,
54590,,170.0,
