promotion_id,name,active,start_year,end_year,abbreviation,location
4,Ring Of Honor,True,2002,,ROH,"Baltimore, Maryland, USA"
12,Pro Wrestling Guerrilla,True,2003,,PWG,"Los Angeles, California, USA"
3,Extreme Championship Wrestling,False,1992,2001.0,ECW,"Philadelphia, Pennsylvania, USA"
1576,Ballistic Championship Wrestling,False,2007,2011.0,BCW,"Rutland, Ohio, USA"
117,Big Japan Pro-Wrestling,True,1995,,BJW,"Yokohama, Kanagawa, Japan"
2287,All Elite Wrestling,True,2019,,AEW,"Jacksonville, Florida, USA"
8,Pro Wrestling NOAH,True,2000,,NOAH,"Tokyo, Japan"
962,Revolution Pro Wrestling ,True,2012,,RevPro,"Sittingbourne, Kent, England, UK"
5,Impact Wrestling,True,2002,,Impact Wrestling,"Nashville, Tennessee, USA"
64,Universal Wrestling Federation,False,1953,1987.0,UWF,"Oklahoma City, Oklahoma, USA"
6,All Japan Pro Wrestling,True,1972,,AJPW,"Tokyo, Japan"
903,PROGRESS Wrestling,True,2012,,PROGRESS,"London, England, UK"
41,American Wrestling Association,False,1933,1991.0,AWA,"Minneapolis, Minnesota, USA"
122,Lucha Libre AAA World Wide,True,1992,,AAA,"Mexico City, Distrito Federal, Mexiko"
22,Major League Wrestling,True,2002,,MLW,"Orlando, Florida, USA"
62,World Class Wrestling Association,False,1940,1991.0,WCWA,"Dallas, Texas, USA"
1467,Tokyo Joshi Pro-Wrestling,True,2013,,TJPW,"Tokyo, Japan"
118,DDT Pro Wrestling,True,1997,,DDT,"Tokyo, Japan"
32,Smoky Mountain Wrestling,False,1991,1995.0,SMW,"Morristown, Tennessee, USA"
710,Game Changer Wrestling,True,1999,,GCW,"New Jersey, USA"
7,New Japan Pro Wrestling,True,1972,,NJPW,"Tokyo, Japan"
1,World Wrestling Entertainment,True,1948,,WWE,"Stamford, Connecticut, USA"
78,Consejo Mundial De Lucha Libre,True,1933,,CMLL,"Mexico City, Distrito Federal, Mexiko"
2,World Championship Wrestling,False,1988,2001.0,WCW,"Atlanta, Georgia, USA"
9,National Wrestling Alliance,True,1948,,NWA,USA
96,Dragongate Japan Pro-Wrestling,True,2004,,DG,"Kobe, Hyogo, Japan"
