promotion_id,wrestler_id
4,23407
4,2353
12,252
12,1045
12,1100
12,252
12,632
12,347
12,1045
12,573
3,664
3,3994
117,11246
117,4147
2287,23407
8,626
8,541
5,6739
5,6739
5,16573
5,6739
5,6739
5,564
5,1556
5,564
64,4563
64,1303
64,3172
6,1001
6,258
6,19814
6,541
6,272
41,1133
41,3277
41,21855
122,8126
122,14154
122,8126
122,8602
122,14154
122,8259
22,5415
62,1039
62,660
62,686
62,3141
62,20245
118,1749
118,1749
118,2070
32,837
32,4618
32,837
32,4618
32,4
710,12734
710,12734
710,1698
710,13119
7,4200
7,90
7,5067
7,1096
1,784
1,1399
1,1398
1,2842
78,8245
78,8112
78,8111
2,784
2,65
9,16573
96,3742
